Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
112537,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""1857231589""","=""9781857231588""",4,4.10,,Paperback,243,2000,1973,2010/11/01,2013/11/03,,,read,,,,1,,,0,,,,,
49041,"New Moon (Twilight, #2)",Stephenie Meyer,"Meyer, Stephenie",,"=""""","=""""",2,3.54,"Little, Brown and Company",Hardcover,563,2006,2006,2009/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
1430,Eleven Minutes,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,"=""0060589280""","=""9780060589288""",4,3.70,HarperOne,Paperback,273,2003,2003,2007/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
84119,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,"Lewis, C.S.",,"=""0439861365""","=""9780439861366""",0,3.91,Scholastic Inc,Paperback,224,1995,1954,1999/01/01,2016/05/01,,,read,,,,1,,,0,,,,,
642231,Measuring the World,Daniel Kehlmann,"Kehlmann, Daniel",Carol Brown Janeway,"=""0375424466""","=""9780375424465""",0,3.74,Pantheon,Hardcover,259,2006,2005,2009/05/01,2019/11/21,,,read,,,,1,,,0,,,,,
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Микола Климчук,"=""0393316041""","=""9780393316049""",5,4.27,W. W. Norton & Company,Paperback,391,1997,1985,2008/01/01,2016/04/28,,,read,,,,1,,,0,,,,,
309767,Linear Algebra and Its Applications [with CD-ROM],David C. Lay,"Lay, David C.",,"=""0321287134""","=""9780321287137""",4,3.91,Addison Wesley,Hardcover,576,2006,1993,2007/08/01,2016/04/28,,,read,,,,1,,,0,,,,,
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",4,3.90,Pocket Books,Mass Market Paperback,736,2006,2000,2010/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
2095,The Universe in a Nutshell,Stephen Hawking,"Hawking, Stephen",,"=""055380202X""","=""9780553802023""",0,4.16,Bantam,Hardcover,216,2001,2001,2006/01/01,2018/04/11,,,read,,,,1,,,0,,,,,
121749,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,"Lewis, C.S.",,"=""000720230X""","=""9780007202300""",4,3.98,HarperCollins Publishers,Hardcover,240,2005,1951,1999/01/01,2016/05/01,,,read,,,,1,,,0,,,,,
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""006112527X""","=""9780061125270""",0,4.09,HarperCollins,Hardcover,248,2006,1952,1999/01/01,2016/05/01,,,read,,,,1,,,0,,,,,
31360,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0765304740""","=""9780765304742""",4,3.76,Tor Books,Paperback,370,2002,1996,2007/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
3437328,The Temporal Void,Peter F. Hamilton,"Hamilton, Peter F.",,"=""1405088834""","=""9781405088831""",0,4.25,Macmillan,Hardcover,746,2008,2008,2017/04/01,2017/04/12,,,read,,,,1,,,0,,,,,
17800,Dance Dance Dance,Haruki Murakami,"Murakami, Haruki",,"=""0099448769""","=""9780099448761""",4,4.04,Vintage,Paperback,393,2002,1988,2009/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
234225,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",Domingo Santos,"=""0340839937""","=""9780340839935""",5,4.23,Hodder & Stoughton,Paperback,604,2006,1965,2010/12/01,2013/11/03,,,read,,,,1,,,0,,,,,
1168341,Physics of the Impossible,Michio Kaku,"Kaku, Michio",,"=""0385520697""","=""9780385520690""",3,4.07,Doubleday Books,Hardcover,329,2008,2008,2011/01/01,2020/05/30,,,read,,,,1,,,0,,,,,
5552,QED: The Strange Theory of Light and Matter,Richard P. Feynman,"Feynman, Richard P.",R. Ömür Akyüz,"=""0691024170""","=""9780691024172""",4,4.25,Princeton University Press,Paperback,158,1988,1985,2012/04/01,2016/04/28,,,read,,,,1,,,0,,,,,
428263,"Eclipse (Twilight, #3)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316160202""","=""9780316160209""",2,3.69,"Little, Brown and Company",Hardcover,629,2007,2007,2008/01/01,2013/11/03,,,read,,,,1,,,0,,,,,
